y	y_ghia	y_calc	abs_err	rel_err(%)
0.0000	0.00000	0.00488	0.00488	---
0.0547	-0.03717	-0.03447	0.00270	7.27
0.0625	-0.04192	-0.03945	0.00247	5.90
0.0703	-0.04775	-0.04442	0.00333	6.97
0.1016	-0.06434	-0.06303	0.00131	2.04
0.1719	-0.10150	-0.09981	0.00169	1.67
0.2813	-0.15662	-0.15013	0.00649	4.14
0.4531	-0.21090	-0.20199	0.00891	4.23
0.5000	-0.20581	-0.20201	0.00380	1.85
0.6172	-0.13641	-0.15073	0.01432	10.50
0.7344	0.00332	-0.01969	0.02301	692.99
0.8516	0.23151	0.22449	0.00702	3.03
0.9531	0.68717	0.71603	0.02886	4.20
0.9609	0.73722	0.77321	0.03599	4.88
0.9688	0.78871	0.83111	0.04240	5.38
0.9766	0.84123	0.88829	0.04706	5.59
1.0000	1.00000	1.05981	0.05981	5.98
