x	x_ghia	x_calc	abs_err	rel_err(%)
0.0000	0.00000	-0.01007	0.01007	---
0.0625	0.09233	0.08979	0.00254	2.75
0.0703	0.10091	0.09970	0.00121	1.20
0.0781	0.10890	0.10961	0.00071	0.66
0.0938	0.12317	0.12468	0.00151	1.23
0.1563	0.16077	0.16469	0.00392	2.44
0.2266	0.17507	0.17614	0.00107	0.61
0.2344	0.17527	0.17600	0.00073	0.42
0.5000	0.05454	0.04655	0.00799	14.66
0.8047	-0.24533	-0.23755	0.00778	3.17
0.8594	-0.22445	-0.22583	0.00138	0.62
0.9063	-0.16914	-0.17162	0.00248	1.47
0.9453	-0.10313	-0.10068	0.00245	2.37
0.9531	-0.08864	-0.08493	0.00371	4.18
0.9609	-0.07391	-0.06777	0.00614	8.30
0.9688	-0.05906	-0.05040	0.00866	14.67
1.0000	0.00000	0.01824	0.01824	---
