axis,index,coord,rho,u,v,p
vertical,1,0.0246914,1.84,0,0,0
vertical,2,0.0740741,1.84,0,0,0
vertical,3,0.123457,1.84,0,0,0
vertical,4,0.17284,1.84,0,0,0
vertical,5,0.222222,1.84,0,0,0
vertical,6,0.271605,1.84,0,0,0
vertical,7,0.320988,1.84,0,0,0
vertical,8,0.37037,1.84,0,0,0
vertical,9,0.419753,1.84,0,0,0
vertical,10,0.469136,1.84,0,0,0
vertical,11,0.518519,1.84,0,0,0
vertical,12,0.567901,1.84,0,0,0
vertical,13,0.617284,1.84,0,0,0
vertical,14,0.666667,1.84,0,0,0
vertical,15,0.716049,1.84,0,0,0
vertical,16,0.765432,1.84,0,0,0
vertical,17,0.814815,1.84,0,0,0
vertical,18,0.864198,1.84,0,0,0
vertical,19,0.91358,1.84,0,0,0
vertical,20,0.962963,1.84,0,0,0
vertical,21,1.01235,1.84,0,0,0
vertical,22,1.06173,1.84,0,0,0
vertical,23,1.11111,1.84,0,0,0
vertical,24,1.16049,1.84,0,0,0
vertical,25,1.20988,1.84,0,0,0
vertical,26,1.25926,1.84,0,0,0
vertical,27,1.30864,1.84,0,0,0
vertical,28,1.35802,1.84,0,0,0
vertical,29,1.40741,1.84,0,0,0
vertical,30,1.45679,1.84,0,0,0
vertical,31,1.50617,1.84,0,0,0
vertical,32,1.55556,1.84,0,0,0
vertical,33,1.60494,1.84,0,0,0
vertical,34,1.65432,1.84,0,0,0
vertical,35,1.7037,1.84,0,0,0
vertical,36,1.75309,1.84,0,0,0
vertical,37,1.80247,1.84,0,0,0
vertical,38,1.85185,1.84,0,0,0
vertical,39,1.90123,1.84,0,0,0
vertical,40,1.95062,1.84,0,0,0
vertical,41,2,1.84,0,0,0
vertical,42,2.04938,1.84,0,0,0
vertical,43,2.09877,1.84,0,0,0
vertical,44,2.14815,1.84,0,0,0
vertical,45,2.19753,1.84,0,0,0
vertical,46,2.24691,1.84,0,0,0
vertical,47,2.2963,1.84,0,0,0
vertical,48,2.34568,1.84,0,0,0
vertical,49,2.39506,1.84,0,0,0
vertical,50,2.44444,1.84,0,0,0
vertical,51,2.49383,1.84,0,0,0
vertical,52,2.54321,1.84,0,0,0
vertical,53,2.59259,1.84,0,0,0
vertical,54,2.64198,1.84,0,0,0
vertical,55,2.69136,1.84,0,0,0
vertical,56,2.74074,1.84,0,0,0
vertical,57,2.79012,1.84,0,0,0
vertical,58,2.83951,1.84,0,0,0
vertical,59,2.88889,1.84,0,0,0
vertical,60,2.93827,1.84,0,0,0
vertical,61,2.98765,1.84,0,0,0
vertical,62,3.03704,1.84,0,0,0
vertical,63,3.08642,1.84,0,0,0
vertical,64,3.1358,1.84,0,0,0
vertical,65,3.18519,1.84,0,0,0
vertical,66,3.23457,1.84,0,0,0
vertical,67,3.28395,1.84,0,0,0
vertical,68,3.33333,1.84,0,0,0
vertical,69,3.38272,1.84,0,0,0
vertical,70,3.4321,1.84,0,0,0
vertical,71,3.48148,1.84,0,0,0
vertical,72,3.53086,1.84,0,0,0
vertical,73,3.58025,1.84,0,0,0
vertical,74,3.62963,1.84,0,0,0
vertical,75,3.67901,1.84,0,0,0
vertical,76,3.7284,1.84,0,0,0
vertical,77,3.77778,1.84,0,0,0
vertical,78,3.82716,1.84,0,0,0
vertical,79,3.87654,1.84,0,0,0
vertical,80,3.92593,1.84,0,0,0
vertical,81,3.97531,1.84,0,0,0
horizontal,1,0.0248619,1000,0,0,0
horizontal,2,0.0745856,1000,0,0,0
horizontal,3,0.124309,1000,0,0,0
horizontal,4,0.174033,1000,0,0,0
horizontal,5,0.223757,1000,0,0,0
horizontal,6,0.273481,1000,0,0,0
horizontal,7,0.323204,1000,0,0,0
horizontal,8,0.372928,1000,0,0,0
horizontal,9,0.422652,1000,0,0,0
horizontal,10,0.472376,1000,0,0,0
horizontal,11,0.522099,1000,0,0,0
horizontal,12,0.571823,1000,0,0,0
horizontal,13,0.621547,1000,0,0,0
horizontal,14,0.671271,1000,0,0,0
horizontal,15,0.720994,1000,0,0,0
horizontal,16,0.770718,1000,0,0,0
horizontal,17,0.820442,1000,0,0,0
horizontal,18,0.870166,1000,0,0,0
horizontal,19,0.91989,1000,0,0,0
horizontal,20,0.969613,1000,0,0,0
horizontal,21,1.01934,1000,0,0,0
horizontal,22,1.06906,1000,0,0,0
horizontal,23,1.11878,1000,0,0,0
horizontal,24,1.16851,1000,0,0,0
horizontal,25,1.21823,1000,0,0,0
horizontal,26,1.26796,1000,0,0,0
horizontal,27,1.31768,1000,0,0,0
horizontal,28,1.3674,1000,0,0,0
horizontal,29,1.41713,1000,0,0,0
horizontal,30,1.46685,1000,0,0,0
horizontal,31,1.51657,1000,0,0,0
horizontal,32,1.5663,1000,0,0,0
horizontal,33,1.61602,1000,0,0,0
horizontal,34,1.66575,1000,0,0,0
horizontal,35,1.71547,1000,0,0,0
horizontal,36,1.76519,1000,0,0,0
horizontal,37,1.81492,1000,0,0,0
horizontal,38,1.86464,1000,0,0,0
horizontal,39,1.91436,1000,0,0,0
horizontal,40,1.96409,1000,0,0,0
horizontal,41,2.01381,1.84,0,0,0
horizontal,42,2.06354,1.84,0,0,0
horizontal,43,2.11326,1.84,0,0,0
horizontal,44,2.16298,1.84,0,0,0
horizontal,45,2.21271,1.84,0,0,0
horizontal,46,2.26243,1.84,0,0,0
horizontal,47,2.31215,1.84,0,0,0
horizontal,48,2.36188,1.84,0,0,0
horizontal,49,2.4116,1.84,0,0,0
horizontal,50,2.46133,1.84,0,0,0
horizontal,51,2.51105,1.84,0,0,0
horizontal,52,2.56077,1.84,0,0,0
horizontal,53,2.6105,1.84,0,0,0
horizontal,54,2.66022,1.84,0,0,0
horizontal,55,2.70994,1.84,0,0,0
horizontal,56,2.75967,1.84,0,0,0
horizontal,57,2.80939,1.84,0,0,0
horizontal,58,2.85912,1.84,0,0,0
horizontal,59,2.90884,1.84,0,0,0
horizontal,60,2.95856,1.84,0,0,0
horizontal,61,3.00829,1.84,0,0,0
horizontal,62,3.05801,1.84,0,0,0
horizontal,63,3.10773,1.84,0,0,0
horizontal,64,3.15746,1.84,0,0,0
horizontal,65,3.20718,1.84,0,0,0
horizontal,66,3.25691,1.84,0,0,0
horizontal,67,3.30663,1.84,0,0,0
horizontal,68,3.35635,1.84,0,0,0
horizontal,69,3.40608,1.84,0,0,0
horizontal,70,3.4558,1.84,0,0,0
horizontal,71,3.50552,1.84,0,0,0
horizontal,72,3.55525,1.84,0,0,0
horizontal,73,3.60497,1.84,0,0,0
horizontal,74,3.6547,1.84,0,0,0
horizontal,75,3.70442,1.84,0,0,0
horizontal,76,3.75414,1.84,0,0,0
horizontal,77,3.80387,1.84,0,0,0
horizontal,78,3.85359,1.84,0,0,0
horizontal,79,3.90331,1.84,0,0,0
horizontal,80,3.95304,1.84,0,0,0
horizontal,81,4.00276,1.84,0,0,0
horizontal,82,4.05249,1.84,0,0,0
horizontal,83,4.10221,1.84,0,0,0
horizontal,84,4.15193,1.84,0,0,0
horizontal,85,4.20166,1.84,0,0,0
horizontal,86,4.25138,1.84,0,0,0
horizontal,87,4.3011,1.84,0,0,0
horizontal,88,4.35083,1.84,0,0,0
horizontal,89,4.40055,1.84,0,0,0
horizontal,90,4.45028,1.84,0,0,0
horizontal,91,4.5,1.84,0,0,0
horizontal,92,4.54972,1.84,0,0,0
horizontal,93,4.59945,1.84,0,0,0
horizontal,94,4.64917,1.84,0,0,0
horizontal,95,4.6989,1.84,0,0,0
horizontal,96,4.74862,1.84,0,0,0
horizontal,97,4.79834,1.84,0,0,0
horizontal,98,4.84807,1.84,0,0,0
horizontal,99,4.89779,1.84,0,0,0
horizontal,100,4.94751,1.84,0,0,0
horizontal,101,4.99724,1.84,0,0,0
horizontal,102,5.04696,1.84,0,0,0
horizontal,103,5.09669,1.84,0,0,0
horizontal,104,5.14641,1.84,0,0,0
horizontal,105,5.19613,1.84,0,0,0
horizontal,106,5.24586,1.84,0,0,0
horizontal,107,5.29558,1.84,0,0,0
horizontal,108,5.3453,1.84,0,0,0
horizontal,109,5.39503,1.84,0,0,0
horizontal,110,5.44475,1.84,0,0,0
horizontal,111,5.49448,1.84,0,0,0
horizontal,112,5.5442,1.84,0,0,0
horizontal,113,5.59392,1.84,0,0,0
horizontal,114,5.64365,1.84,0,0,0
horizontal,115,5.69337,1.84,0,0,0
horizontal,116,5.74309,1.84,0,0,0
horizontal,117,5.79282,1.84,0,0,0
horizontal,118,5.84254,1.84,0,0,0
horizontal,119,5.89227,1.84,0,0,0
horizontal,120,5.94199,1.84,0,0,0
horizontal,121,5.99171,1.84,0,0,0
horizontal,122,6.04144,1.84,0,0,0
horizontal,123,6.09116,1.84,0,0,0
horizontal,124,6.14088,1.84,0,0,0
horizontal,125,6.19061,1.84,0,0,0
horizontal,126,6.24033,1.84,0,0,0
horizontal,127,6.29006,1.84,0,0,0
horizontal,128,6.33978,1.84,0,0,0
horizontal,129,6.3895,1.84,0,0,0
horizontal,130,6.43923,1.84,0,0,0
horizontal,131,6.48895,1.84,0,0,0
horizontal,132,6.53867,1.84,0,0,0
horizontal,133,6.5884,1.84,0,0,0
horizontal,134,6.63812,1.84,0,0,0
horizontal,135,6.68785,1.84,0,0,0
horizontal,136,6.73757,1.84,0,0,0
horizontal,137,6.78729,1.84,0,0,0
