step,t,y,rho,u,v,p
1,0.00706318,0.0246914,1.84,0,0,1e-09
1,0.00706318,0.0740741,1.84,0,0,1e-09
1,0.00706318,0.123457,1.84,0,0,1e-09
1,0.00706318,0.17284,1.84,0,0,1e-09
1,0.00706318,0.222222,1.84,0,0,1e-09
1,0.00706318,0.271605,1.84,0,0,1e-09
1,0.00706318,0.320988,1.84,0,0,1e-09
1,0.00706318,0.37037,1.84,0,0,1e-09
1,0.00706318,0.419753,1.84,0,0,1e-09
1,0.00706318,0.469136,1.84,0,0,1e-09
1,0.00706318,0.518519,1.84,0,0,1e-09
1,0.00706318,0.567901,1.84,0,0,1e-09
1,0.00706318,0.617284,1.84,0,0,1e-09
1,0.00706318,0.666667,1.84,0,0,1e-09
1,0.00706318,0.716049,1.84,0,0,1e-09
1,0.00706318,0.765432,1.84,0,0,1e-09
1,0.00706318,0.814815,1.84,0,0,1e-09
1,0.00706318,0.864198,1.84,0,0,1e-09
1,0.00706318,0.91358,1.84,0,0,1e-09
1,0.00706318,0.962963,1.84,0,0,1e-09
1,0.00706318,1.01235,1.84,0,0,1e-09
1,0.00706318,1.06173,1.84,0,0,1e-09
1,0.00706318,1.11111,1.84,0,0,1e-09
1,0.00706318,1.16049,1.84,0,0,1e-09
1,0.00706318,1.20988,1.84,0,0,1e-09
1,0.00706318,1.25926,1.84,0,0,1e-09
1,0.00706318,1.30864,1.84,0,0,1e-09
1,0.00706318,1.35802,1.84,0,0,1e-09
1,0.00706318,1.40741,1.84,0,0,1e-09
1,0.00706318,1.45679,1.84,0,0,1e-09
1,0.00706318,1.50617,1.84,0,0,1e-09
1,0.00706318,1.55556,1.84,0,0,1e-09
1,0.00706318,1.60494,1.84,0,0,1e-09
1,0.00706318,1.65432,1.84,0,0,1e-09
1,0.00706318,1.7037,1.84,0,0,1e-09
1,0.00706318,1.75309,1.84,0,0,1e-09
1,0.00706318,1.80247,1.84,0,0,1e-09
1,0.00706318,1.85185,1.84,0,0,1e-09
1,0.00706318,1.90123,1.84,0,0,1e-09
1,0.00706318,1.95062,1.84,0,0,1e-09
1,0.00706318,2,1.84,0,0,1e-09
1,0.00706318,2.04938,1.84,0,0,1e-09
1,0.00706318,2.09877,1.84,0,0,1e-09
1,0.00706318,2.14815,1.84,0,0,1e-09
1,0.00706318,2.19753,1.84,0,0,1e-09
1,0.00706318,2.24691,1.84,0,0,1e-09
1,0.00706318,2.2963,1.84,0,0,1e-09
1,0.00706318,2.34568,1.84,0,0,1e-09
1,0.00706318,2.39506,1.84,0,0,1e-09
1,0.00706318,2.44444,1.84,0,0,1e-09
1,0.00706318,2.49383,1.84,0,0,1e-09
1,0.00706318,2.54321,1.84,0,0,1e-09
1,0.00706318,2.59259,1.84,0,0,1e-09
1,0.00706318,2.64198,1.84,0,0,1e-09
1,0.00706318,2.69136,1.84,0,0,1e-09
1,0.00706318,2.74074,1.84,0,0,1e-09
1,0.00706318,2.79012,1.84,0,0,1e-09
1,0.00706318,2.83951,1.84,0,0,1e-09
1,0.00706318,2.88889,1.84,0,0,1e-09
1,0.00706318,2.93827,1.84,0,0,1e-09
1,0.00706318,2.98765,1.84,0,0,1e-09
1,0.00706318,3.03704,1.84,0,0,1e-09
1,0.00706318,3.08642,1.84,0,0,1e-09
1,0.00706318,3.1358,1.84,0,0,1e-09
1,0.00706318,3.18519,1.84,0,0,1e-09
1,0.00706318,3.23457,1.84,0,0,1e-09
1,0.00706318,3.28395,1.84,0,0,1e-09
1,0.00706318,3.33333,1.84,0,0,1e-09
1,0.00706318,3.38272,1.84,0,0,1e-09
1,0.00706318,3.4321,1.84,0,0,1e-09
1,0.00706318,3.48148,1.84,0,0,1e-09
1,0.00706318,3.53086,1.84,0,0,1e-09
1,0.00706318,3.58025,1.84,0,0,1e-09
1,0.00706318,3.62963,1.84,0,0,1e-09
1,0.00706318,3.67901,1.84,0,0,1e-09
1,0.00706318,3.7284,1.84,0,0,1e-09
1,0.00706318,3.77778,1.84,0,0,1e-09
1,0.00706318,3.82716,1.84,0,0,1e-09
